"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"155",3,0,0,1,0,33,0,0,15.3985300064087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"156",6,0,0,0,0,40,0,0,15.1108474731445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"157",7,0,0,1,1,57,0,0,14.9285259246826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"158",3,1,0,0,1,34,1,1,12.7364206314087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",2,1,0,1,0,26,0,0,15.1108474731445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"160",4,1,0,0,1,38,0,0,14.106143951416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"161",5,0,0,1,0,53,1,0,13.835033416748,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"162",3,1,0,1,0,42,1,0,14.4557647705078,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"163",2,1,0,1,0,55,1,0,14.3050365447998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"164",5,1,0,0,0,44,0,1,14.9285259246826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",6,1,0,1,0,42,0,0,14.8451442718506,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"166",7,1,1,0,0,30,0,0,13.9980707168579,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"167",3,1,0,1,0,36,0,1,14.0122356414795,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",4,1,0,0,1,38,0,0,14.4717655181885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"169",7,1,0,1,0,25,0,0,14.9285259246826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"170",6,1,0,0,1,55,0,1,14.4177007675171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",5,1,1,1,0,22,1,0,14.6172504425049,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"172",5,0,0,0,1,28,0,1,13.7245531082153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",3,1,0,0,0,23,0,1,13.3190879821777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",4,1,0,1,0,45,1,0,14.3656616210938,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"175",8,0,0,1,0,37,0,0,15.1108474731445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"176",5,1,1,0,0,31,0,0,15.3472366333008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"177",10,1,1,1,0,23,0,0,14.4177007675171,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"178",4,1,0,0,0,25,1,0,14.2404985427856,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"179",3,0,0,0,0,43,1,0,13.835033416748,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"180",3,1,0,1,1,44,0,0,11.7096500396729,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"181",7,0,0,1,0,33,0,0,15.3985300064087,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"182",7,1,0,0,1,38,1,1,13.1418857574463,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",5,1,0,0,1,31,0,0,12.913613319397,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
