"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"154",7,0,0,0,1,27,1,1,14.0218782424927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",5,0,0,0,1,47,0,0,13.1357021331787,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"156",2,1,0,0,1,22,0,0,11.9317293167114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"157",6,1,1,0,1,22,1,1,13.304741859436,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",6,1,0,1,1,45,0,0,14.7451400756836,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"159",4,0,0,1,1,46,1,0,12.457444190979,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"160",4,0,0,0,1,42,0,0,12.1140508651733,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"161",7,0,0,0,1,30,1,0,13.1505918502808,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"162",6,1,0,0,1,41,1,0,13.9978895187378,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"163",5,0,1,0,1,27,0,0,12.6248760223389,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"164",6,1,0,0,1,55,1,0,14.7600288391113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"165",5,0,0,1,1,45,1,0,15.4123544692993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"166",7,0,1,0,1,27,1,1,14.0260601043701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",5,1,0,1,1,48,1,0,14.9423503875732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"168",6,1,0,0,1,49,1,1,14.3545637130737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",4,0,0,1,1,30,1,0,14.3865957260132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"170",5,1,0,0,1,44,0,0,12.8480195999146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"171",5,1,0,0,1,41,1,0,15.4123544692993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"172",6,0,0,0,1,34,0,0,11.9317293167114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"173",6,1,0,0,1,43,0,0,14.2394456863403,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"174",5,1,0,0,1,32,0,0,15.438286781311,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"175",3,1,0,0,1,33,0,0,14.3392429351807,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"176",5,1,0,0,1,36,0,0,15.438286781311,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"177",4,1,0,0,1,31,0,1,12.8480195999146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",5,1,0,1,1,44,1,0,14.3047914505005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"179",5,1,1,0,1,42,0,0,14.2394456863403,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"180",8,1,0,0,1,39,1,1,13.8437385559082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",5,1,0,0,1,48,1,0,15.4123544692993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"182",5,1,0,0,1,23,0,0,12.8071975708008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"183",7,1,0,0,1,49,1,0,13.304741859436,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"184",2,1,0,0,1,30,0,0,14.0111703872681,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"185",4,1,0,0,1,45,0,1,13.0140781402588,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",8,1,0,0,1,46,1,0,13.6614170074463,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"187",7,1,0,0,1,23,1,0,13.4382734298706,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"188",3,1,0,0,1,30,1,1,14.131420135498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",7,1,0,0,1,40,0,0,13.6663303375244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"190",3,0,0,1,1,40,1,0,12.0519790649414,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"191",8,1,0,0,1,22,1,0,14.53688621521,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"192",3,0,1,0,1,35,1,1,13.4382734298706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",3,0,0,0,1,30,1,0,13.3329133987427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"194",5,1,0,1,1,48,0,0,14.0595502853394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"195",2,1,1,1,1,52,1,0,11.3588314056396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"196",4,1,0,1,1,55,0,0,14.0595502853394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"197",4,1,1,0,1,22,0,0,12.442554473877,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"198",2,1,0,0,1,36,1,0,13.1505918502808,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"199",1,1,0,1,1,58,1,0,13.6614170074463,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"200",2,1,0,1,1,40,0,0,14.9274616241455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"201",9,1,1,0,1,40,1,0,13.9101762771606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"202",7,1,0,0,1,41,0,0,11.5262641906738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"203",5,1,0,0,1,54,1,0,14.1802110671997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"204",13,1,0,0,1,52,0,0,13.940541267395,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"205",4,0,0,0,1,55,1,1,14.53688621521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",2,1,0,0,1,44,1,0,13.6614170074463,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"207",3,1,0,0,1,58,1,0,15.1430215835571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"208",5,1,1,0,1,28,0,0,12.337194442749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"209",7,0,0,1,1,43,0,0,14.2139196395874,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"210",4,1,0,0,1,45,1,1,14.3341569900513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",6,0,0,0,1,32,0,1,13.0140781402588,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",2,1,1,0,1,40,0,0,13.7234888076782,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"213",5,1,0,1,1,45,0,0,14.3392429351807,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"214",2,1,1,0,1,35,0,0,14.2343139648438,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"215",5,1,0,0,1,51,1,0,14.31374168396,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"216",7,0,0,1,1,39,0,0,13.940541267395,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"217",6,0,0,0,1,52,0,0,14.4166355133057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"218",5,0,0,0,1,33,0,0,11.7494077682495,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"219",6,1,0,1,1,39,0,0,14.9274616241455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"220",5,0,0,1,1,34,1,0,13.8941144943237,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"221",3,1,0,0,1,42,1,0,13.6614170074463,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"222",5,1,0,0,1,27,1,1,14.3341569900513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",4,0,1,1,1,30,0,1,13.4721736907959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",6,1,0,1,1,36,1,0,13.8437385559082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"225",4,1,0,1,1,55,1,1,14.131420135498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",7,1,0,0,1,43,1,0,14.9423503875732,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"227",3,1,0,0,1,37,0,0,14.2139196395874,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
